"NEIGHBORHOOD_CLUSTER","neighborhoods"
0,"unknown"
1,"Kalorama Heights, Adams Morgan, Lanier Heights"
2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View"
3,"Howard University, Le Droit Park, Cardozo/Shaw"
4,"Georgetown, Burleith/Hillandale"
5,"West End, Foggy Bottom, GWU"
6,"Dupont Circle, Connecticut Avenue/K Street"
7,"Shaw, Logan Circle"
8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street"
9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point"
10,"Hawthorne, Barnaby Woods, Chevy Chase"
11,"Friendship Heights, American University Park, Tenleytown"
12,"North Cleveland Park, Forest Hills, Van Ness"
13,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir"
14,"Cathedral Heights, McLean Gardens, Glover Park"
15,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace"
16,"Colonial Village, Shepherd Park, North Portal Estates"
17,"Takoma, Brightwood, Manor Park"
18,"Brightwood Park, Crestwood, Petworth"
19,"Lamond Riggs, Queens Chapel, Fort Totten, Pleasant Hill"
20,"North Michigan Park, Michigan Park, University Heights"
21,"Edgewood, Bloomingdale, Truxton Circle, Eckington"
22,"Brookland, Brentwood, Langdon"
23,"Ivy City, Arboretum, Trinidad, Carver Langston"
24,"Woodridge, Fort Lincoln, Gateway"
25,"NoMa, Union Station, Stanton Park, Kingman Park"
26,"Capitol Hill, Lincoln Park"
27,"Near Southeast, Navy Yard"
28,Historic Anacostia
29,"Eastland Gardens, Kenilworth"
30,"Mayfair, Hillbrook, Mahaning Heights"
31,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights"
32,"River Terrace, Benning, Greenway, Fort Dupont"
33,"Capitol View, Marshall Heights, Benning Heights"
34,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Dupont Park"
35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park"
36,"Woodland/Fort Stanton, Garfield Heights, Knox Hill"
37,"Sheridan, Barry Farm, Buena Vista"
38,"Douglass, Shipley Terrace"
39,"Congress Heights, Bellevue, Washington Highlands"
